id;tog;tid;BTR;km;spor;watt [kW]
14210;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:15;82;4,987;sydgaaende;263
14211;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:16;82;4,976;sydgaaende;266
14212;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:17;82;4,965;sydgaaende;270
14213;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:18;82;4,954;sydgaaende;233
14214;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:19;82;4,943;sydgaaende;275
14215;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:20;82;4,932;sydgaaende;255
14216;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:21;82;4,921;sydgaaende;248
14217;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:22;82;4,91;sydgaaende;269
14218;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:23;82;4,899;sydgaaende;264
14219;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:24;82;4,888;sydgaaende;266
14220;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:25;82;4,877;sydgaaende;240
14221;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:26;82;4,866;sydgaaende;235
14222;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:27;82;4,855;sydgaaende;240
14223;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:28;82;4,844;sydgaaende;206
14224;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:29;82;4,833;sydgaaende;226
14225;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:30;82;4,822;sydgaaende;223
14226;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:31;82;4,811;sydgaaende;213
14227;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:32;82;4,8;sydgaaende;213
14228;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:33;82;4,789;sydgaaende;203
14229;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:34;82;4,778;sydgaaende;173
14230;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:35;82;4,767;sydgaaende;204
14231;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:36;82;4,756;sydgaaende;215
14232;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:37;82;4,745;sydgaaende;229
14233;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:38;82;4,734;sydgaaende;218
14234;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:39;82;4,723;sydgaaende;225
14235;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:40;82;4,712;sydgaaende;228
14236;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:41;82;4,701;sydgaaende;235
14237;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:42;82;4,69;sydgaaende;233
14238;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:43;82;4,679;sydgaaende;228
14239;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:44;82;4,668;sydgaaende;216
14240;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:45;82;4,657;sydgaaende;218
14241;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:46;82;4,646;sydgaaende;201
14242;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:47;82;4,635;sydgaaende;185
14243;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:48;82;4,624;sydgaaende;178
14244;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:49;82;4,613;sydgaaende;182
14245;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:50;82;4,602;sydgaaende;202
14246;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:51;82;4,591;sydgaaende;205
14247;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:52;82;4,58;sydgaaende;215
14248;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:53;82;4,569;sydgaaende;209
14249;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:54;82;4,558;sydgaaende;209
14250;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:55;82;4,547;sydgaaende;199
14251;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:56;82;4,536;sydgaaende;192
14252;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:57;82;4,525;sydgaaende;196
14253;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:58;82;4,514;sydgaaende;205
14254;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:19:59;82;4,503;sydgaaende;202
14255;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:00;82;4,492;sydgaaende;204
14256;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:01;82;4,481;sydgaaende;200
14257;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:02;82;4,47;sydgaaende;322
14258;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:03;82;4,459;sydgaaende;326
14259;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:04;82;4,448;sydgaaende;283
14260;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:05;82;4,437;sydgaaende;314
14261;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:06;82;4,426;sydgaaende;315
14262;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:07;82;4,415;sydgaaende;265
14263;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:08;82;4,404;sydgaaende;259
14264;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:09;82;4,393;sydgaaende;251
14265;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:10;82;4,382;sydgaaende;237
14266;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:11;82;4,371;sydgaaende;244
14267;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:12;82;4,36;sydgaaende;233
14268;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:13;82;4,349;sydgaaende;206
14269;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:14;82;4,338;sydgaaende;181
14270;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:15;82;4,327;sydgaaende;184
14271;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:16;82;4,316;sydgaaende;501
14272;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:17;82;4,305;sydgaaende;1223
14273;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:18;82;4,293;sydgaaende;1879
14274;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:19;82;4,28;sydgaaende;2016
14275;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:20;82;4,266;sydgaaende;1998
14276;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:21;82;4,251;sydgaaende;1998
14277;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:22;82;4,236;sydgaaende;1346
14278;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:23;82;4,22;sydgaaende;348
14279;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:24;82;4,204;sydgaaende;-283
14280;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:25;82;4,189;sydgaaende;-671
14281;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:26;82;4,174;sydgaaende;-747
14282;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:27;82;4,16;sydgaaende;-833
14283;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:28;82;4,147;sydgaaende;-864
14284;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:29;82;4,134;sydgaaende;-877
14285;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:30;82;4,122;sydgaaende;-860
14286;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:31;82;4,111;sydgaaende;-822
14287;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:32;82;4,1;sydgaaende;-799
14288;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:33;82;4,09;sydgaaende;-752
14289;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:34;82;4,081;sydgaaende;-690
14290;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:35;82;4,072;sydgaaende;-636
14291;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:36;82;4,064;sydgaaende;-557
14292;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:37;82;4,057;sydgaaende;-503
14293;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:38;82;4,05;sydgaaende;-447
14294;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:39;82;4,044;sydgaaende;-398
14295;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:40;82;4,039;sydgaaende;-362
14296;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:41;82;4,034;sydgaaende;-295
14297;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:42;82;4,03;sydgaaende;-240
14298;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:43;82;4,027;sydgaaende;-193
14299;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:44;82;4,024;sydgaaende;-131
14300;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:45;82;4,022;sydgaaende;-75
14301;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:46;82;4,021;sydgaaende;-15
14302;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:47;82;4,02;sydgaaende;32
14303;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:48;82;4,02;sydgaaende;48
14304;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:49;82;4,02;sydgaaende;51
14305;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:50;82;4,02;sydgaaende;53
14306;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:51;82;4,02;sydgaaende;30
14307;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:52;82;4,02;sydgaaende;32
14308;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:53;82;4,02;sydgaaende;32
14309;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:54;82;4,02;sydgaaende;32
14310;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:55;82;4,02;sydgaaende;32
14311;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:56;82;4,02;sydgaaende;32
14312;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:57;82;4,02;sydgaaende;30
14313;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:58;82;4,02;sydgaaende;31
14314;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:20:59;82;4,02;sydgaaende;31
14315;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:00;82;4,02;sydgaaende;31
14316;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:01;82;4,02;sydgaaende;31
14317;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:02;82;4,02;sydgaaende;31
14318;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:03;82;4,02;sydgaaende;31
14319;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:04;82;4,02;sydgaaende;31
14320;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:05;82;4,02;sydgaaende;32
14321;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:06;82;4,02;sydgaaende;138
14322;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:07;82;4,02;sydgaaende;140
14323;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:08;82;4,02;sydgaaende;137
14324;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:09;82;4,02;sydgaaende;137
14325;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:10;82;4,02;sydgaaende;136
14326;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:11;82;4,02;sydgaaende;136
14327;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:12;82;4,02;sydgaaende;134
14328;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:13;82;4,02;sydgaaende;134
14329;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:14;82;4,02;sydgaaende;111
14330;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:15;82;4,02;sydgaaende;109
14331;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:16;82;4,02;sydgaaende;109
14332;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:17;82;4,02;sydgaaende;109
14333;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:18;82;4,02;sydgaaende;114
14334;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:19;82;4,02;sydgaaende;128
14335;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:20;82;4,02;sydgaaende;135
14336;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:21;82;4,02;sydgaaende;162
14337;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:22;82;4,019;sydgaaende;211
14338;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:23;82;4,018;sydgaaende;308
14339;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:24;82;4,016;sydgaaende;524
14340;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:25;82;4,013;sydgaaende;773
14341;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:26;82;4,008;sydgaaende;1142
14342;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:27;82;4,002;sydgaaende;1445
14343;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:28;82;3,995;sydgaaende;1717
14344;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:29;82;3,986;sydgaaende;1958
14345;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:30;82;3,976;sydgaaende;1918
14346;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:31;82;3,965;sydgaaende;1341
14347;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:32;82;3,954;sydgaaende;499
14348;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:33;82;3,943;sydgaaende;160
14349;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:34;82;3,932;sydgaaende;106
14350;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:35;82;3,92;sydgaaende;107
14351;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:36;82;3,908;sydgaaende;107
14352;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:37;82;3,896;sydgaaende;100
14353;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:38;82;3,884;sydgaaende;96
14354;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:39;82;3,872;sydgaaende;93
14355;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:40;82;3,86;sydgaaende;99
14356;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:41;82;3,848;sydgaaende;83
14357;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:42;82;3,836;sydgaaende;83
14358;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:43;82;3,824;sydgaaende;83
14359;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:44;82;3,812;sydgaaende;87
14360;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:45;82;3,8;sydgaaende;87
14361;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:46;82;3,788;sydgaaende;84
14362;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:47;82;3,776;sydgaaende;77
14363;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:48;82;3,764;sydgaaende;67
14364;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:49;82;3,752;sydgaaende;58
14365;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:50;82;3,74;sydgaaende;61
14366;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:51;82;3,728;sydgaaende;63
14367;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:52;82;3,716;sydgaaende;72
14368;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:53;82;3,704;sydgaaende;71
14369;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:54;82;3,692;sydgaaende;72
14370;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:55;82;3,68;sydgaaende;72
14371;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:56;82;3,668;sydgaaende;68
14372;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:57;82;3,656;sydgaaende;61
14373;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:58;82;3,644;sydgaaende;71
14374;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:21:59;82;3,632;sydgaaende;78
14375;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:00;82;3,619;sydgaaende;81
14376;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:01;82;3,606;sydgaaende;81
14377;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:02;82;3,593;sydgaaende;81
14378;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:03;82;3,58;sydgaaende;71
14379;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:04;82;3,567;sydgaaende;68
14380;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:05;82;3,554;sydgaaende;68
14381;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:06;82;3,541;sydgaaende;74
14382;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:07;82;3,528;sydgaaende;81
14383;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:08;82;3,515;sydgaaende;83
14384;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:09;82;3,502;sydgaaende;86
14385;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:10;82;3,489;sydgaaende;229
14386;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:11;82;3,476;sydgaaende;202
14387;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:12;82;3,463;sydgaaende;182
14388;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:13;82;3,45;sydgaaende;174
14389;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:14;82;3,437;sydgaaende;180
14390;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:15;82;3,424;sydgaaende;190
14391;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:16;82;3,411;sydgaaende;192
14392;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:17;82;3,398;sydgaaende;188
14393;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:18;82;3,384;sydgaaende;181
14394;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:19;82;3,37;sydgaaende;189
14395;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:20;82;3,356;sydgaaende;174
14396;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:21;82;3,342;sydgaaende;175
14397;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:22;82;3,328;sydgaaende;173
14398;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:23;82;3,314;sydgaaende;185
14399;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:24;82;3,3;sydgaaende;186
14400;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:25;82;3,286;sydgaaende;175
14401;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:26;82;3,272;sydgaaende;170
14402;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:27;82;3,258;sydgaaende;154
14403;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:28;82;3,244;sydgaaende;147
14404;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:29;82;3,23;sydgaaende;154
14405;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:30;82;3,216;sydgaaende;159
14406;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:31;82;3,202;sydgaaende;152
14407;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:32;82;3,188;sydgaaende;151
14408;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:33;82;3,174;sydgaaende;143
14409;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:34;82;3,16;sydgaaende;121
14410;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:35;82;3,146;sydgaaende;120
14411;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:36;82;3,132;sydgaaende;128
14412;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:37;82;3,117;sydgaaende;122
14413;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:38;82;3,102;sydgaaende;125
14414;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:39;82;3,087;sydgaaende;117
14415;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:40;82;3,072;sydgaaende;119
14416;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:41;82;3,057;sydgaaende;117
14417;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:42;82;3,042;sydgaaende;115
14418;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:43;82;3,027;sydgaaende;115
14419;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:44;82;3,012;sydgaaende;102
14420;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:45;82;2,997;sydgaaende;95
14421;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:46;82;2,982;sydgaaende;88
14422;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:47;82;2,967;sydgaaende;86
14423;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:48;82;2,952;sydgaaende;64
14424;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:49;82;2,937;sydgaaende;65
14425;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:50;82;2,922;sydgaaende;60
14426;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:51;82;2,907;sydgaaende;55
14427;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:52;82;2,892;sydgaaende;54
14428;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:53;82;2,877;sydgaaende;60
14429;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:54;82;2,862;sydgaaende;60
14430;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:55;82;2,847;sydgaaende;58
14431;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:56;82;2,832;sydgaaende;58
14432;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:57;82;2,817;sydgaaende;67
14433;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:58;82;2,802;sydgaaende;81
14434;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:22:59;82;2,787;sydgaaende;77
14435;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:00;82;2,772;sydgaaende;-116
14436;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:01;82;2,758;sydgaaende;-405
14437;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:02;82;2,744;sydgaaende;-575
14438;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:03;82;2,731;sydgaaende;-635
14439;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:04;82;2,718;sydgaaende;-650
14440;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:05;82;2,705;sydgaaende;-629
14441;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:06;82;2,693;sydgaaende;-382
14442;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:07;82;2,681;sydgaaende;-417
14443;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:08;82;2,67;sydgaaende;-550
14444;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:09;82;2,659;sydgaaende;-633
14445;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:10;82;2,649;sydgaaende;-660
14446;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:11;82;2,639;sydgaaende;-648
14447;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:12;82;2,63;sydgaaende;-619
14448;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:13;82;2,622;sydgaaende;-578
14449;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:14;82;2,614;sydgaaende;-373
14450;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:15;82;2,607;sydgaaende;-320
14451;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:16;82;2,601;sydgaaende;-267
14452;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:17;82;2,595;sydgaaende;-249
14453;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:18;82;2,59;sydgaaende;-193
14454;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:19;82;2,586;sydgaaende;-155
14455;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:20;82;2,583;sydgaaende;-98
14456;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:21;82;2,58;sydgaaende;-39
14457;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:22;82;2,578;sydgaaende;-22
14458;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:23;82;2,577;sydgaaende;32
14459;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:24;82;2,576;sydgaaende;83
14460;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:25;82;2,576;sydgaaende;115
14461;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:26;82;2,576;sydgaaende;96
14462;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:27;82;2,576;sydgaaende;90
14463;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:28;82;2,576;sydgaaende;69
14464;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:29;82;2,576;sydgaaende;66
14465;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:30;82;2,576;sydgaaende;70
14466;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:31;82;2,576;sydgaaende;70
14467;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:32;82;2,576;sydgaaende;67
14468;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:33;82;2,576;sydgaaende;73
14469;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:34;82;2,576;sydgaaende;77
14470;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:35;82;2,576;sydgaaende;74
14471;+30Tognummer 612231, Hilleroed-Hundige, SA-8204;13:23:36;82;2,576;sydgaaende;73
